id,mail,overridden,mapit_id
1760,,0,2650
1761,,0,2648
1323,,0,2464
1055,,0,2274
1062,,0,2281
1762,,0,2550
1801,,0,145963
1802,foodenquiries@ardsandnorthdown.gov.uk,1,145960
1763,,0,2647
1803,,0,145954
1324,,0,2463
1259,,0,2413
1179,,0,2353
1021,,0,2258
1300,,0,2441
1501,,0,2511
1502,,0,2489
1401,food@barnsley.gov.uk,1,2513
1056,,0,2276
1109,,0,2319
1131,,0,2327
1260,,0,2410
1857,,0,2551
1701,,0,2253
1807,,0,145955
1503,,0,2494
1402,,0,2514
1209,,0,2376
1897,,0,2552
1898,,0,2553
1552,,0,2554
1063,,0,2282
1403,,0,2515
1219,,0,2382
1872,,0,2555
1882,,0,2556
1404,,0,2516
1110,,0,2317
1227,contactus@breckland.gov.uk,1,2390
1504,,0,2488
1111,,0,2309
1553,,0,2592
1875,,0,2614
1855,,0,2561
1228,,0,2626
1505,,0,2482
1153,wrsenquiries@worcsregservices.gov.uk,1,2477
1155,,0,2340
1261,,0,2415
1196,,0,2371
1405,,1,2517
1555,,0,2558
1406,,0,2518
1027,,0,2263
1506,,0,2505
1287,,0,2438
1180,envhealth@canterbury.gov.uk,1,2354
1057,,0,2272
1558,,0,2604
1112,,0,2320
1180,,0,145961
1702,,0,21070
1557,,0,2640
1210,env.health@charnwood.gov.uk,1,2377
1113,cscinternal@chelmsford.gov.uk,1,2314
1124,,0,2326
1268,,0,2419
1703,,0,21069
1704,ost@cheshirewestandchester.gov.uk,1,21068
1064,,0,2284
1325,,0,2465
1022,,0,2257
1197,food.team@chorley.gov.uk,1,2362
1084,,0,2292
1568,,0,2549
1773,,0,2651
1508,,0,2512
1868,,0,2625
1768,,0,2569
1114,,0,2315
1791,,0,2646
1550,,0,2570
1058,,0,2271
1235,,0,2398
1705,,0,2250
1125,,0,2322
1407,,0,2520
1250,,0,2405
1326,,0,2469
1156,,0,2341
1874,,0,2572
1181,eh.support@dartford.gov.uk,1,2358
1236,,0,2394
1559,,0,2602
1871,,0,2562
1070,,0,2283
1813,food@derrycityandstrabanedistrict.com,1,145959
1408,,0,2521
1182,,0,2355
1409,,0,2522
1770,,0,2656
1772,,0,2573
1706,,0,2223
1509,,0,2484
1764,,0,2574
1028,,0,2261
1072,,0,2286
1084,,0,2294
1771,,0,2575
1132,,0,2330
1157,,0,2342
1220,,0,2384
1781,,0,2652
1237,,0,2393
1787,,0,2576
1863,,0,2577
1288,EHSupport@eaststaffsbc.gov.uk,1,2437
1102,,0,2307
1133,,0,2329
1059,env.health@eden.gov.uk,1,2275
1305,,0,2455
1510,,0,2495
1115,,0,2311
1306,,0,2457
1066,,0,2279
1073,,0,2290
1774,,0,2578
1134,,0,2335
1029,,0,2259
1816,,0,145956
1775,,0,2649
1560,,0,2605
1298,,0,2444
1125,,0,2321
1198,,0,2365
1410,,0,2523
1262,,0,2412
1776,,0,2579
1127,,0,2325
1135,,0,2334
1184,commercialhealth.admin@gravesham.gov.uk,1,2359
1229,,0,2387
1511,,0,2493
1307,,0,2452
1554,,0,2638
1512,,0,2508
1889,,0,2580
1251,,0,2409
1513,,0,2502
1211,,0,2375
1514,,0,2509
1116,,0,2318
1252,,0,2407
1515,,0,2487
1136,,0,2333
1859,Public.Protection@hartlepool.gov.uk,1,2581
1103,,0,2308
1137,,0,2336
1516,,0,2485
1895,,0,2571
1158,,0,2339
1067,,0,2277
1777,,0,2643
1517,,0,2486
1212,,0,2372
1327,,0,2467
1518,,0,2483
1866,,0,2563
1030,envhealth@huntingdonshire.gov.uk,1,2262
1199,,0,2370
1778,,0,2582
1299,enquiries@ipswich.gov.uk,1,2446
1551,,0,2637
1867,,0,2636
1336,,0,2251
1519,,0,2507
1520,environmentalhealth@rbkc.gov.uk,1,2503
1238,,0,2396
1230,,0,2389
1521,,0,2480
1411,,0,2524
1412,,0,2525
1522,,0,2490
1200,,0,2361
1413,,0,2526
1878,,0,2564
1105,,0,2304
1523,environmentalhealth@lewisham.gov.uk,1,2492
1289,,0,2434
1221,food@lincoln.gov.uk,1,2385
1809,,0,145958
1414,,0,2527
1507,,0,2481
1869,,0,2583
1185,ehadminsbc-mbc@midkent.gov.uk,1,2356
1117,commercial@maldon.gov.uk,1,2316
1153,,0,2474
1415,contact@manchester.gov.uk,1,2528
1263,,0,2416
1896,,0,2584
1214,environmentalhealth@melton.gov.uk,1,2374
1281,,0,2428
1561,,0,2585
1524,,0,2500
1804,food@midandeastantrim.gov.uk,1,145962
1074,,0,2289
1300,environmentalhealth@midsuffolk.gov.uk,1,2445
1328,,0,2466
1811,,0,145957
1861,customerservices@middlesbrough.gov.uk,1,2586
1783,,0,2587
1870,,0,2588
1308,,0,2454
1562,,0,2603
1784,,0,2644
1563,,0,2560
1138,,0,2328
1264,,0,2414
1416,,0,2529
1290,,0,2435
1525,,0,2510
1564,,0,2559
1814,,0,145964
1765,,0,2654
1075,,0,2285
1086,,0,2295
1068,,0,2280
1865,,0,2589
1159,,0,2345
1222,,0,2383
1779,,0,2590
1864,,0,2591
1231,,0,2386
1858,,0,2642
1417,,0,2530
1317,,0,2458
1215,,0,2373
1239,ehealth@northampton.gov.uk,1,2397
1707,,0,2248
1232,,0,2391
1899,,0,2565
1318,brsteam@nuneatonandbedworth.gov.uk,1,2462
1216,,0,2378
1418,environmentalhealth@oldham.gov.uk,1,2531
1785,,0,2645
1269,,0,2421
1565,foodsafety@pembrokeshire.gov.uk,1,2641
1201,,0,2368
1786,,0,2593
1888,,0,2566
1891,,0,2658
1873,,0,2594
1876,,0,2657
1566,environmental.health@powys.gov.uk,1,2595
1202,ehsupportteam@preston.gov.uk,1,2366
1088,,0,2291
1884,,0,2596
1526,Food.Safety@redbridge.gov.uk,1,2497
1860,,0,2597
1153,,0,2479
1309,,0,2453
1788,,0,2598
1567,,0,2599
1203,,0,2369
1527,,0,2499
1253,,0,2406
1419,environmental.health@rochdale.gov.uk,1,2532
1118,,0,2310
1204,,0,2364
1106,,0,2305
1420,,0,2533
1319,,0,2459
1310,environmentalhealth@runnymede.gov.uk,1,2451
1266,,0,2411
1140,,0,2337
1879,,0,2600
1254,,0,2408
1422,,0,2534
1423,environmentalhealth@sandwell.gov.uk,1,2535
1255,customer.first@scarborough.gov.uk,1,2403
1767,,0,2601
1282,,0,2431
1424,,0,2536
1256,,0,2404
1187,,0,2350
1425,,0,2537
1188,foodteam@shepway.gov.uk,1,2349
1789,,0,2653
1708,,0,2238
1885,,0,2606
1426,,0,2538
1766,,0,2655
1022,,0,2256
1032,,0,2260
1069,commercial.team@south-derbys.gov.uk,1,2278
1856,,0,2608
1077,,0,2629
1223,info@sholland.gov.uk,1,2381
1224,,0,2380
1060,,0,2273
1780,,0,2609
1233,,0,2388
1240,,0,2392
1270,,0,2418
1205,,0,2363
1283,,0,2430
1291,,0,2433
1427,,0,2539
1877,,0,2567
1893,foodsafety@southend.gov.uk,1,2607
1528,,0,2491
1311,,0,2456
1160,,0,2343
1298,,0,2443
1421,,0,2541
1292,,0,2436
1293,,0,2432
1161,,0,2347
1790,,1,2610
1428,,0,2540
1862,,0,2611
1880,,0,2568
1320,,0,2461
1128,,0,2323
1302,,0,2442
1429,,0,2542
1312,,0,2450
1529,,0,2498
1189,,0,2357
1881,,0,2612
1430,,0,2543
1295,,0,2439
1313,,0,2448
1284,,0,2429
1078,foodandsafety@teignbridge.gov.uk,1,2287
1900,,0,2613
1120,,0,2312
1142,,0,2332
1129,,0,2324
1190,,0,2352
1556,,0,2639
1162,,1,2338
1894,,0,2615
1191,,0,2351
1892,,0,2617
1569,,0,2616
1080,,0,2630
1530,,0,2506
1431,,0,2544
1192,,0,2348
1122,,0,2313
1570,,0,2557
1271,,0,2417
1432,,0,2545
1433,,0,2546
1531,,0,2496
1532,,0,2501
1890,,0,2618
1321,,0,2460
1163,,0,2346
1302,,0,2440
1314,,0,2447
1106,,0,2306
1241,,0,2395
1164,,0,2344
1883,,0,2619
1081,,0,2288
1089,,0,2293
1769,,0,2620
1206,,0,2360
1225,,0,2379
1782,,0,2621
1125,,0,2420
1285,,0,2427
1533,,0,2504
1090,,0,2296
1434,,0,2547
1709,publicprotectionwest@wiltshire.gov.uk,1,2245
1143,eh@winchester.gov.uk,1,2331
1886,,0,2622
1435,,0,2548
1315,environmentalhealth@woking.gov.uk,1,2449
1887,,0,2623
1436,,0,2519
1153,,0,2478
1323,,0,2468
1571,foodsafety@wrexham.gov.uk,1,2624
1152,,0,2476
1025,environmentalhealth@wycombe.gov.uk,1,2255
1207,,0,2367
1153,,0,2475
